Paralogue_Pair1,RCC_scA,RCC_scB,Duplication type1,9_Supercluster_Class,36_RCC_Class,scA_RCC-u?,scB_RCC-u?,Morphological Differentiation2,Ka,Ks,Ka/Ks,scA_Orthogroup3,scB_paralogue3,scA_Orthogroup_rank3,scB_Orthogroup_rank3,Pair_Orthogroup_rank,scA_subgenome4,scB_subgenome4
AT5G12310/AT5G19430,AT5G12310,AT5G19430,alpha,3,3,yes,yes,NA,0.209605177,0.770162578,0.272157053,ORTHO004840,ORTHO004840,2736,2736,2736,?,?
AT5G12350/AT5G19420,AT5G12350,AT5G19420,alpha,2,2,yes,no,NA,0.055232508,0.49536359,0.111498925,NA,NA,NA,NA,NA,?,?
AT5G12480/AT5G19450,AT5G12480,AT5G19450,alpha,2,2,yes,yes,NA,0.050362165,0.667953814,0.075397675,NA,NA,NA,NA,NA,?,?
AT5G14060/AT3G02020,AT5G14060,AT3G02020,alpha,3,3,no,no,NA,0.094962119,0.575578798,0.164985436,ORTHO001840,ORTHO001840,1852,1852,1852,?,?
AT5G14070/AT3G02000,AT5G14070,AT3G02000,alpha,3,3,no,no,No,0.189187576,0.843729719,0.224227702,ORTHO001993,ORTHO001993,1646,1646,1646,A,B
AT5G14120/AT3G01930,AT5G14120,AT3G01930,alpha,3,3,yes,yes,NA,0.086767825,0.839081869,0.103408056,ORTHO001061,ORTHO001061,2074,2074,2074,?,?
AT5G14170/AT3G01890,AT5G14170,AT3G01890,alpha,3,3,yes,no,NA,0.128232241,0.598583309,0.214226223,ORTHO001533,ORTHO001533,683,683,683,?,?
AT5G14390/AT3G01690,AT5G14390,AT3G01690,alpha,3,3,yes,no,NA,0.098297099,0.901125119,0.109082631,ORTHO000286_1,ORTHO000286_1,744,744,744,?,?
AT5G14480/AT3G01620,AT5G14480,AT3G01620,alpha,3,3,no,no,NA,0.1022978,0.904500104,0.113098716,ORTHO000667,ORTHO000667,437,437,437,A,B
AT5G14540/AT3G01560,AT5G14540,AT3G01560,alpha,3,3,yes,no,NA,0.22751483,0.757941519,0.300174649,ORTHO003930,ORTHO003930,3342,3342,3342,?,?
AT5G14790/AT3G01450,AT5G14790,AT3G01450,alpha,3,3,yes,no,NA,0.179894083,0.717883324,0.250589583,ORTHO005323,NA,2531,NA,2531,?,?
AT5G14960/AT3G01330,AT5G14960,AT3G01330,alpha,3,3,no,no,NA,0.31416663,0.57438648,0.546960351,NA,NA,NA,NA,NA,?,?
AT5G15350/AT3G01070,AT5G15350,AT3G01070,alpha,3,3,yes,no,NA,0.249501182,1.070993497,0.232962369,NA,NA,NA,NA,NA,A,B
AT5G15490/AT3G01010,AT5G15490,AT3G01010,alpha,1,1,yes,no,NA,0.062599384,0.293892636,0.213000859,ORTHO000423,NA,1101,NA,1101,?,?
AT5G15510/AT3G01015,AT5G15510,AT3G01015,alpha,1,1,no,no,NA,0.278059277,1.022410162,0.271964508,ORTHO002860,ORTHO002860,243,243,243,?,?
AT5G15600/AT3G02180,AT5G15600,AT3G02180,alpha,3,3,yes,yes,NA,0.158143398,0.860048653,0.18387727,NA,NA,NA,NA,NA,A,B
AT5G15630/AT3G02210,AT5G15630,AT3G02210,alpha,3,4,no,no,NA,0.256911911,2.095630208,0.122594106,NA,NA,NA,NA,NA,A,B
AT5G15860/AT3G02410,AT5G15860,AT3G02410,alpha,2,3,no,no,NA,0.143934616,0.818750862,0.175797819,ORTHO001137,ORTHO001137,1324,1324,1324,?,?
AT5G15900/AT3G02440,AT5G15900,AT3G02440,alpha,1,1,no,no,NA,0.412746178,1.552754794,0.265815427,ORTHO002536,NA,8359,NA,8359,?,?
AT5G15970/AT3G02480,AT5G15970,AT3G02480,alpha,2,3,yes,yes,NA,0.410152462,0.388284972,1.056318146,NA,NA,NA,NA,NA,?,?
AT5G16110/AT3G02555,AT5G16110,AT3G02555,alpha,2,3,yes,yes,NA,0.218102469,0.675579231,0.322837735,ORTHO003574,ORTHO003574,333,333,333,?,?
AT5G16230/AT3G02610,AT5G16230,AT3G02610,alpha,3,3,no,no,NA,0.093902688,0.862360461,0.108890299,ORTHO000332,ORTHO000332,7643,7643,7643,?,?
AT5G16470/AT3G02790,AT5G16470,AT3G02790,alpha,3,3,yes,yes,NA,0.080105707,1.427187827,0.056128356,NA,ORTHO004891,NA,1778,1778,A,B
AT5G16660/AT3G02900,AT5G16660,AT3G02900,alpha,3,3,yes,yes,NA,0.264267935,1.162806443,0.227267346,ORTHO005395,ORTHO005395,1460,1460,1460,?,?
AT5G16730/AT3G02930,AT5G16730,AT3G02930,alpha,3,3,yes,no,NA,0.180591697,0.724025234,0.249427353,ORTHO001493,ORTHO001493,420,420,420,A,B
AT5G16770/AT3G02940,AT5G16770,AT3G02940,alpha,2,3,no,no,NA,0.11331246,0.647010554,0.17513232,NA,NA,NA,NA,NA,?,?
AT5G16800/AT3G02980,AT5G16800,AT3G02980,alpha,3,3,yes,no,NA,0.164149821,0.649826439,0.252605635,ORTHO009484,NA,3280,NA,3280,A,B
AT5G17000/AT3G03080,AT5G17000,AT3G03080,alpha,3,3,no,no,NA,0.119120739,0.667254421,0.178523717,ORTHO000365,ORTHO000365,8973,8973,8973,?,?
AT5G17010/AT3G03090,AT5G17010,AT3G03090,alpha,3,3,yes,no,NA,0.115049481,0.538977818,0.213458657,ORTHO001394_1,ORTHO001394_1,2236,2236,2236,A,B
AT5G17390/AT3G03290,AT5G17390,AT3G03290,alpha,3,3,no,no,NA,0.157509268,1.270243885,0.123999233,NA,NA,NA,NA,NA,?,?
AT5G17460/AT3G03345,AT5G17460,AT3G03345,alpha,1,1,yes,no,NA,NA,NA,NA,ORTHO010252,NA,9112,NA,9112,?,?
AT5G17490/AT3G03450,AT5G17490,AT3G03450,alpha,3,3,no,no,NA,0.193382365,0.804069257,0.240504612,ORTHO001388,ORTHO001388,1761,1761,1761,?,?
AT5G17810/AT3G03660,AT5G17810,AT3G03660,alpha,3,3,no,no,NA,0.208710564,0.596452032,0.349920116,ORTHO002130,ORTHO002130,331,331,331,?,?
AT5G17820/AT3G03670,AT5G17820,AT3G03670,alpha,1,1,yes,no,NA,0.261086252,0.91904345,0.284084775,NA,NA,NA,NA,NA,A,B
AT5G17920/AT3G03780,AT5G17920,AT3G03780,alpha,3,3,yes,yes,NA,0.03940759,0.501787222,0.078534462,ORTHO000813,ORTHO000813,1438,1438,1438,A,B
AT5G17980/AT3G03680,AT5G17980,AT3G03680,alpha,2,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT5G18110/AT3G03858,AT5G18110,AT3G03858,alpha,NA,NA,yes,no,NA,NA,NA,NA,ORTHO006932,NA,3344,NA,3344,?,?
AT5G18130/AT3G03870,AT5G18130,AT3G03870,alpha,2,3,no,yes,NA,0.259060006,0.616502612,0.420209097,NA,NA,NA,NA,NA,A,B
AT5G18170/AT3G03910,AT5G18170,AT3G03910,alpha,3,3,no,no,NA,0.043478622,0.716284117,0.060700246,ORTHO000662_2,ORTHO000662_2,288,288,288,A,B
AT5G18190/AT3G03930,AT5G18190,AT3G03930,alpha,3,3,yes,no,NA,0.295712959,0.344727907,0.857815548,NA,NA,NA,NA,NA,?,?
AT5G18250/AT3G04040,AT5G18250,AT3G04040,alpha,3,3,no,no,NA,0.093983477,0.507339226,0.185247802,ORTHO008441,ORTHO008441,4855,4855,4855,?,?
AT5G18380/AT3G04230,AT5G18380,AT3G04230,alpha,3,3,yes,yes,NA,0.05847455,0.610260937,0.09581893,ORTHO001145,NA,1308,NA,1308,?,?
AT5G19080/AT3G06140,AT5G19080,AT3G06140,alpha,3,3,yes,no,NA,0.184670211,0.762082854,0.242323011,ORTHO003958,ORTHO003958,2411,2411,2411,?,?
AT5G19250/AT3G06035,AT5G19250,AT3G06035,alpha,3,3,yes,yes,NA,0.228748547,0.916311757,0.249640524,ORTHO004008,ORTHO004008,576,576,576,A,B
AT5G19260/AT3G06020,AT5G19260,AT3G06020,alpha,3,3,yes,no,NA,0.394984414,0.953044055,0.414445075,NA,NA,NA,NA,NA,A,B
AT5G19320/AT3G06000,AT5G19320,AT3G06000,alpha,1,1,yes,no,NA,0.422944959,0.285482591,1.481508757,ORTHO001357,NA,1884,NA,1884,?,?
AT5G19340/AT3G05980,AT5G19340,AT3G05980,alpha,3,3,yes,no,NA,0.186210694,0.9815503,0.189710801,NA,NA,NA,NA,NA,?,?
AT5G19380/AT5G12170,AT5G19380,AT5G12170,alpha,2,3,yes,yes,NA,0.183762315,0.644963646,0.284918873,ORTHO007068,ORTHO007068,7427,7427,7427,?,?
AT5G19390/AT5G12150,AT5G19390,AT5G12150,alpha,2,3,yes,no,NA,0.196052272,1.204858574,0.162718079,ORTHO000827_1,ORTHO000827_1,1569,1569,1569,?,?
AT5G19510/AT5G12110,AT5G19510,AT5G12110,alpha,3,3,yes,no,NA,0.116161985,0.897648577,0.129406973,NA,ORTHO010430,NA,6602,6602,?,?
AT5G19520/AT5G12080,AT5G19520,AT5G12080,alpha,3,3,yes,no,NA,0.234273489,0.981972314,0.238574434,NA,NA,NA,NA,NA,?,?
AT5G20570/AT3G42830,AT5G20570,AT3G42830,alpha,1,1,yes,no,NA,0.081722372,1.010161583,0.080900297,ORTHO003041,ORTHO003041,2244,2244,2244,?,?
AT5G20810/AT3G43120,AT5G20810,AT3G43120,alpha,1,1,yes,no,NA,0.14459647,0.777392538,0.186001876,ORTHO003196,ORTHO003196,791,791,791,?,?
AT5G20830/AT3G43190,AT5G20830,AT3G43190,alpha,3,4,no,no,No,0.062007826,0.780934321,0.079402101,NA,NA,NA,NA,NA,?,?
AT5G20900/AT3G43440,AT5G20900,AT3G43440,alpha,3,3,yes,yes,NA,0.467067514,0.608592503,0.767455253,NA,NA,NA,NA,NA,?,?
AT5G20960/AT3G43600,AT5G20960,AT3G43600,alpha,3,3,yes,yes,NA,0.250452042,1.783203161,0.140450649,ORTHO000272_1,ORTHO000272_1,8479,8479,8479,?,?
AT5G21090/AT3G43740,AT5G21090,AT3G43740,alpha,3,3,yes,yes,NA,0.090608334,0.549062358,0.165023759,ORTHO005146,NA,1565,NA,1565,?,?
AT5G22290/AT3G44290,AT5G22290,AT3G44290,alpha,3,3,no,no,NA,0.215834465,0.91473552,0.235952864,NA,NA,NA,NA,NA,?,?
AT5G22550/AT3G44700,AT5G22550,AT3G44700,alpha,3,3,no,no,NA,0.729929734,0.522706689,1.396442306,NA,ORTHO004296,NA,5660,5660,?,?
AT5G22630/AT3G44720,AT5G22630,AT3G44720,alpha,3,3,yes,yes,NA,0.12502146,1.407771187,0.088808083,ORTHO001567,ORTHO001567,1636,1636,1636,?,?
AT5G22650/AT3G44750,AT5G22650,AT3G44750,alpha,3,3,yes,no,NA,0.316771635,0.659141253,0.480582325,NA,NA,NA,NA,NA,?,?
AT5G22950/AT3G45000,AT5G22950,AT3G45000,alpha,1,1,yes,no,NA,0.137967883,0.837368394,0.164763662,ORTHO006074,NA,2791,NA,2791,?,?
AT5G23210/AT5G08260,AT5G23210,AT5G08260,alpha,4,4,yes,no,NA,0.450648313,1.969225732,0.228845432,ORTHO001286_1,NA,4783,NA,4783,?,?
AT5G23380/AT5G08360,AT5G23380,AT5G08360,alpha,3,3,yes,no,NA,0.502596498,0.394302245,1.274647825,NA,NA,NA,NA,NA,?,?
AT5G23510/AT5G08440,AT5G23510,AT5G08440,alpha,3,3,no,no,NA,0.444088766,0.362942261,1.223579654,NA,ORTHO002218,NA,5228,5228,?,?
AT5G23690/AT3G48830,AT5G23690,AT3G48830,alpha,3,3,no,no,NA,0.138314705,0.582762846,0.237343039,ORTHO003235,ORTHO003235,5138,5138,5138,?,?
AT5G23750/AT3G48940,AT5G23750,AT3G48940,alpha,3,3,yes,no,NA,0.198285652,0.587597694,0.337451379,ORTHO001158,ORTHO001158,426,426,426,A,B
AT5G23900/AT3G48960,AT5G23900,AT3G48960,alpha,3,3,yes,no,NA,0.118382244,0.854248368,0.138580591,NA,NA,NA,NA,NA,A,?
AT5G24310/AT3G49290,AT5G24310,AT3G49290,alpha,3,3,no,no,NA,0.088794624,0.635594485,0.139703264,ORTHO003117,ORTHO003117,1352,1352,1352,?,?
AT5G24450/AT3G49410,AT5G24450,AT3G49410,alpha,3,3,yes,no,NA,0.136479094,0.596445859,0.228820592,ORTHO004930,ORTHO004930,4482,4482,4482,?,?
AT5G24880/AT5G10660,AT5G24880,AT5G10660,alpha,3,3,no,no,NA,0.291472504,0.704559862,0.413694449,NA,NA,NA,NA,NA,?,?
AT5G24980/AT5G10745,AT5G24980,AT5G10745,alpha,3,3,yes,no,NA,0.225724688,0.37622355,0.599974904,NA,NA,NA,NA,NA,?,?
AT5G25060/AT5G10800,AT5G25060,AT5G10800,alpha,3,3,yes,no,NA,0.152450474,0.667736434,0.228309354,ORTHO003656,ORTHO003656,1684,1684,1684,?,?
AT5G25160/AT5G10970,AT5G25160,AT5G10970,alpha,3,3,no,no,NA,0.252193164,0.746932628,0.337638436,NA,NA,NA,NA,NA,B,A
AT5G25190/AT5G11190,AT5G25190,AT5G11190,alpha,1,1,no,no,NA,NA,NA,NA,ORTHO001687,NA,363,NA,363,B,A
AT5G25220/AT5G11060,AT5G25220,AT5G11060,alpha,3,3,no,no,NA,0.078378028,0.767969656,0.102058757,ORTHO002507,ORTHO002507,1038,1038,1038,?,?
AT5G25270/AT5G11080,AT5G25270,AT5G11080,alpha,1,1,no,no,NA,0.706444872,0.487730266,1.448433531,ORTHO006976,NA,3788,NA,3788,?,?
AT5G25440/AT5G11410,AT5G25440,AT5G11410,alpha,3,3,no,no,NA,0.479199461,1.283141028,0.373458139,NA,NA,NA,NA,NA,?,?
AT5G25540/AT5G11440,AT5G25540,AT5G11440,alpha,3,3,yes,no,NA,0.340510518,0.74348862,0.457990222,NA,NA,NA,NA,NA,?,?
AT5G25810/AT5G11590,AT5G25810,AT5G11590,alpha,1,1,no,no,NA,0.321726805,1.335153341,0.240966184,NA,ORTHO004556,NA,2658,2658,?,?
AT5G25820/AT5G11610,AT5G25820,AT5G11610,alpha,3,3,no,no,NA,0.434508852,1.390939947,0.312385055,ORTHO000397,ORTHO000397,6584,6584,6584,B,A
AT5G26250/AT3G05960,AT5G26250,AT3G05960,alpha,1,1,no,no,NA,0.071244577,1.054324848,0.067573649,NA,NA,NA,NA,NA,?,?
AT5G26340/AT3G05960,AT5G26340,AT3G05960,alpha,1,1,yes,no,NA,0.357300199,2.8732041,0.12435601,NA,NA,NA,NA,NA,?,?
AT5G26731/AT3G05937,AT5G26731,AT3G05937,alpha,4,4,no,no,NA,0.272837728,0.587046288,0.46476357,NA,NA,NA,NA,NA,B,A
AT5G26770/AT3G05830,AT5G26770,AT3G05830,alpha,3,3,yes,no,NA,0.151508852,0.729888157,0.207578175,ORTHO006380,NA,359,NA,359,B,A
AT5G26860/AT3G05780,AT5G26860,AT3G05780,alpha,3,3,no,no,NA,0.172196671,0.638050218,0.269879496,ORTHO002436,ORTHO002436,3708,3708,3708,B,?
AT5G27150/AT3G05030,AT5G27150,AT3G05030,alpha,3,3,yes,no,NA,0.067650465,0.859064962,0.078748952,ORTHO000292_3,ORTHO000292_3,1556,1556,1556,?,?
AT5G27410/AT3G05190,AT5G27410,AT3G05190,alpha,3,3,no,no,NA,0.070407271,0.410512166,0.171510804,ORTHO005536,ORTHO005536,3869,3869,3869,?,?
AT5G27520/AT3G05290,AT5G27520,AT3G05290,alpha,3,3,yes,yes,NA,0.071310003,0.654672705,0.108924662,ORTHO002151,ORTHO002151,623,623,623,B,A
AT5G27540/AT3G05310,AT5G27540,AT3G05310,alpha,3,3,yes,no,NA,0.273361357,0.889380851,0.307361415,ORTHO000963,ORTHO000963,995,995,995,?,?
AT5G27610/AT3G05380,AT5G27610,AT3G05380,alpha,3,3,no,no,NA,0.243465262,0.537410069,0.453034426,ORTHO001403,ORTHO001403,1015,1015,1015,B,A
AT5G27650/AT3G05430,AT5G27650,AT3G05430,alpha,3,3,yes,no,NA,0.30069509,0.642435116,0.468055189,ORTHO003829,ORTHO003829,4830,4830,4830,?,?
AT5G27760/AT3G05550,AT5G27760,AT3G05550,alpha,3,3,yes,no,NA,0.112450937,0.745215634,0.15089718,ORTHO004383,ORTHO004383,1935,1935,1935,?,?
AT5G27930/AT3G05640,AT5G27930,AT3G05640,alpha,3,3,yes,no,NA,0.105948924,0.893135035,0.118625874,ORTHO001440,ORTHO001440,305,305,305,B,A
AT5G28150/AT3G04860,AT5G28150,AT3G04860,alpha,3,3,yes,no,NA,0.085203543,0.602737913,0.141360849,ORTHO002327,NA,775,NA,775,B,A
AT5G36230/AT1G65220,AT5G36230,AT1G65220,alpha,3,3,yes,yes,NA,0.071792099,0.64761941,0.110855385,ORTHO000948_1,ORTHO000948_1,2206,2206,2206,?,?
AT5G36260/AT1G65240,AT5G36260,AT1G65240,alpha,1,1,no,no,NA,0.209540303,0.887827573,0.236014638,ORTHO000793,ORTHO000793,5386,5386,5386,?,?
AT5G37540/AT1G66180,AT5G37540,AT1G66180,alpha,3,3,yes,no,NA,0.119288842,0.630194232,0.18928901,NA,NA,NA,NA,NA,?,?
AT5G37550/AT1G66190,AT5G37550,AT1G66190,alpha,3,3,no,no,NA,0.352776722,0.52098342,0.677136178,NA,NA,NA,NA,NA,?,?
AT5G37600/AT1G66200,AT5G37600,AT1G66200,alpha,4,4,yes,yes,NA,0.044204712,0.562612799,0.078570398,ORTHO000299,ORTHO000299,1180,1180,1180,?,?
AT5G37740/AT1G66360,AT5G37740,AT1G66360,alpha,3,3,yes,no,NA,0.216247568,1.18355548,0.182710124,ORTHO000769,NA,263,NA,263,?,?
AT5G37790/AT1G66460,AT5G37790,AT1G66460,alpha,3,3,yes,no,NA,0.133971216,0.723704938,0.18511856,NA,NA,NA,NA,NA,?,?
AT5G37890/AT1G66610,AT5G37890,AT1G66610,alpha,1,1,no,no,NA,0.503763736,0.838250807,0.600970176,NA,NA,NA,NA,NA,?,?
AT5G38100/AT1G66700,AT5G38100,AT1G66700,alpha,3,3,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT5G38200/AT1G66860,AT5G38200,AT1G66860,alpha,3,3,yes,no,NA,0.123394663,1.037657496,0.118916563,ORTHO001843,ORTHO001843,3507,3507,3507,B,A
AT5G38280/AT1G66910,AT5G38280,AT1G66910,alpha,1,1,no,no,NA,0.66255484,2.177875387,0.30422073,NA,NA,NA,NA,NA,?,?
AT5G38690/AT1G67270,AT5G38690,AT1G67270,alpha,3,3,yes,no,NA,0.348645074,0.93190835,0.374119488,ORTHO002716,ORTHO002716,7053,7053,7053,B,A
AT5G39510/AT3G29100,AT5G39510,AT3G29100,alpha,3,3,yes,no,NA,0.094229237,0.644465635,0.146212974,ORTHO003750,NA,2813,NA,2813,?,?
AT5G39670/AT3G29000,AT5G39670,AT3G29000,alpha,3,3,no,no,NA,0.214107125,0.81421882,0.262960176,ORTHO003200,ORTHO003200,624,624,624,?,?
AT5G40190/AT3G28140,AT5G40190,AT3G28140,alpha,3,3,yes,no,NA,0.113118326,0.520657495,0.217260535,ORTHO004570,NA,5861,NA,5861,?,?
AT5G40210/AT3G28060,AT5G40210,AT3G28060,alpha,3,3,no,no,NA,0.589345087,0.579911093,1.016268001,NA,NA,NA,NA,NA,?,?
AT5G40260/AT3G28007,AT5G40260,AT3G28007,alpha,3,3,no,no,NA,NA,NA,NA,NA,ORTHO001334,NA,5271,5271,B,A
AT5G40330/AT3G27920,AT5G40330,AT3G27920,alpha,3,3,no,no,Low,0.203981642,0.81717184,0.24961903,NA,NA,NA,NA,NA,?,?
AT5G40340/AT3G27860,AT5G40340,AT3G27860,alpha,3,3,yes,no,NA,0.395341269,0.550855523,0.717685949,NA,NA,NA,NA,NA,?,?
AT5G40460/AT3G27630,AT5G40460,AT3G27630,alpha,3,3,no,no,NA,0.285194939,1.047539159,0.272252294,NA,NA,NA,NA,NA,B,A
AT5G40690/AT3G27355,AT5G40690,AT3G27355,alpha,3,4,yes,yes,NA,0.469763345,0.758441392,0.619379888,ORTHO008466,NA,7553,NA,7553,?,?
AT5G40760/AT3G27300,AT5G40760,AT3G27300,alpha,3,3,yes,yes,NA,0.060112266,0.630180034,0.095389036,ORTHO003484,ORTHO003484,1268,1268,1268,B,A
AT5G40770/AT3G27280,AT5G40770,AT3G27280,alpha,3,3,yes,no,NA,0.061632885,0.770029742,0.080039616,ORTHO002818,ORTHO002818,861,861,861,?,?
AT5G40890/AT3G27170,AT5G40890,AT3G27170,alpha,3,3,yes,no,NA,0.077285953,0.889620347,0.086875208,NA,NA,NA,NA,NA,B,A
AT5G40930/AT3G27070,AT5G40930,AT3G27070,alpha,3,3,yes,no,NA,0.511393079,0.741458545,0.6897123,ORTHO001920,NA,2001,NA,2001,?,?
AT5G40980/AT3G27028,AT5G40980,AT3G27028,alpha,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,?
AT5G41070/AT3G26932,AT5G41070,AT3G26932,alpha,3,3,no,no,NA,0.303019608,0.516809216,0.586327795,NA,NA,NA,NA,NA,?,?
AT5G41130/AT3G26840,AT5G41130,AT3G26840,alpha,3,3,no,no,NA,0.25670796,0.716503598,0.358278675,ORTHO000492_1,ORTHO000492_1,9023,9023,9023,?,?
AT5G41170/AT1G63400,AT5G41170,AT1G63400,alpha,3,3,no,no,NA,0.280865776,0.603299896,0.465549186,NA,NA,NA,NA,NA,?,?
AT5G41180/AT1G63430,AT5G41180,AT1G63430,alpha,2,3,yes,no,NA,0.175606717,0.563368855,0.311708245,ORTHO002006,ORTHO002006,605,605,605,?,?
AT5G41315/AT1G63650,AT5G41315,AT1G63650,alpha,2,3,no,no,Low,0.122719357,0.827226548,0.148350361,ORTHO001705,ORTHO001705,2319,2319,2319,?,?
AT5G41610/AT1G64170,AT5G41610,AT1G64170,alpha,3,3,no,no,NA,0.365270511,2.631555097,0.138804052,NA,NA,NA,NA,NA,?,?
AT5G41680/AT1G64210,AT5G41680,AT1G64210,alpha,3,3,no,no,NA,0.232481843,0.588812084,0.394831984,NA,NA,NA,NA,NA,?,?
AT5G41685/AT1G64220,AT5G41685,AT1G64220,alpha,3,3,yes,no,NA,0.224100821,0.685236542,0.32704155,ORTHO005037,ORTHO005037,4159,4159,4159,?,?
AT5G41810/AT1G64340,AT5G41810,AT1G64340,alpha,1,1,no,no,NA,0.422379672,0.830827396,0.508384381,NA,NA,NA,NA,NA,?,?
AT5G41990/AT1G64630,AT5G41990,AT1G64630,alpha,3,3,yes,no,NA,0.168256595,0.647561235,0.259831173,NA,NA,NA,NA,NA,?,?
AT5G42010/AT1G64610,AT5G42010,AT1G64610,alpha,3,3,no,no,NA,0.229630256,0.906930925,0.253194868,ORTHO000663,ORTHO000663,118,118,118,?,?
AT5G43320/AT1G04440,AT5G43320,AT1G04440,alpha,3,3,yes,yes,NA,0.091573944,0.626464517,0.146175787,NA,NA,NA,NA,NA,?,?
AT5G43420/AT1G04360,AT5G43420,AT1G04360,alpha,3,3,no,no,NA,0.220590087,1.1070203,0.199264717,ORTHO002954,ORTHO002954,377,377,377,?,?
AT5G43450/AT1G04350,AT5G43450,AT1G04350,alpha,3,1,no,no,NA,0.255777596,0.891176246,0.287011236,NA,NA,NA,NA,NA,?,?
AT5G43460/AT1G04340,AT5G43460,AT1G04340,alpha,3,3,yes,yes,NA,0.086624844,0.560570921,0.154529679,NA,NA,NA,NA,NA,?,?
AT5G43700/AT1G04240,AT5G43700,AT1G04240,alpha,2,3,yes,no,NA,0.154244206,0.413313974,0.373188945,ORTHO001193,ORTHO001193,6138,6138,6138,?,?
AT5G43760/AT1G04220,AT5G43760,AT1G04220,alpha,3,3,no,no,NA,0.076963849,0.751098621,0.102468367,NA,NA,NA,NA,NA,?,?
AT5G43900/AT1G04160,AT5G43900,AT1G04160,alpha,3,3,yes,no,NA,0.071134365,0.57264472,0.124220765,NA,NA,NA,NA,NA,?,?
AT5G43970/AT1G04070,AT5G43970,AT1G04070,alpha,2,3,yes,yes,NA,0.222117525,0.95372359,0.232895073,ORTHO004863,NA,4616,NA,4616,?,?
AT5G44020/AT1G04040,AT5G44020,AT1G04040,alpha,3,3,yes,yes,NA,0.202770328,1.001893867,0.202387034,NA,NA,NA,NA,NA,?,?
AT5G44060/AT1G04000,AT5G44060,AT1G04000,alpha,3,3,yes,yes,NA,0.375039348,0.871130449,0.430520307,NA,NA,NA,NA,NA,?,?
AT5G44070/AT1G03980,AT5G44070,AT1G03980,alpha,3,1,yes,no,NA,0.093527293,0.51514379,0.181555703,ORTHO002070,ORTHO002070,7296,7296,7296,?,?
AT5G44090/AT1G03960,AT5G44090,AT1G03960,alpha,3,3,yes,no,NA,0.134831855,0.536236332,0.251441104,ORTHO000733,ORTHO000733,121,121,121,?,?
AT5G44110/AT1G03905,AT5G44110,AT1G03905,alpha,3,3,yes,yes,NA,0.078956006,0.871986002,0.090547332,ORTHO007493,ORTHO007493,4039,4039,4039,?,?
AT5G44210/AT1G03800,AT5G44210,AT1G03800,alpha,3,3,no,no,NA,0.469893141,0.750695271,0.625943921,NA,NA,NA,NA,NA,?,?
AT5G44320/AT4G20980,AT5G44320,AT4G20980,alpha,3,3,yes,no,NA,0.069399121,0.734797311,0.094446618,ORTHO003114,ORTHO003114,398,398,398,?,?
AT5G44340/AT4G20890,AT5G44340,AT4G20890,alpha,3,3,yes,yes,NA,0.021482347,0.828235169,0.025937497,NA,NA,NA,NA,NA,?,?
AT5G44820/AT4G19970,AT5G44820,AT4G19970,alpha,1,1,no,no,NA,0.410702798,2.211000653,0.185754263,NA,NA,NA,NA,NA,B,A
AT5G44860/AT4G19950,AT5G44860,AT4G19950,alpha,3,3,yes,no,NA,0.107338867,0.569493105,0.188481415,ORTHO006259,ORTHO006259,4399,4399,4399,?,?
AT5G45000/AT4G19920,AT5G45000,AT4G19920,alpha,4,4,no,no,NA,0.612883949,0.769997594,0.795955668,NA,NA,NA,NA,NA,?,?
AT5G45110/AT4G19660,AT5G45110,AT4G19660,alpha,3,3,yes,no,NA,0.172549621,0.841081852,0.205151997,ORTHO001319,ORTHO001319,1909,1909,1909,B,A
AT5G45190/AT4G19560,AT5G45190,AT4G19560,alpha,3,3,yes,no,NA,0.349586269,0.642173151,0.544380077,ORTHO001396,NA,3626,NA,3626,?,?
AT5G45200/AT4G19470,AT5G45200,AT4G19470,alpha,1,1,no,no,NA,1.176005225,0.511592585,2.298714365,NA,NA,NA,NA,NA,?,?
AT5G45330/AT4G19360,AT5G45330,AT4G19360,alpha,1,1,no,no,NA,0.90504857,0.497274501,1.820018054,NA,NA,NA,NA,NA,B,A
AT5G45490/AT4G19060,AT5G45490,AT4G19060,alpha,3,3,yes,no,NA,0.467569783,1.075463415,0.434761217,NA,NA,NA,NA,NA,?,?
AT5G45550/AT4G19050,AT5G45550,AT4G19050,alpha,3,1,yes,no,NA,NA,NA,NA,ORTHO007263,NA,3500,NA,3500,?,?
AT5G45630/AT4G18980,AT5G45630,AT4G18980,alpha,3,3,no,no,NA,0.318682624,0.70052345,0.454920708,NA,NA,NA,NA,NA,B,A
AT5G45710/AT4G18870,AT5G45710,AT4G18870,alpha,3,3,yes,no,NA,0.893646656,2.06851258,0.432023796,ORTHO002550,NA,57,NA,57,B,?
AT5G45750/AT4G18800,AT5G45750,AT4G18800,alpha,3,3,yes,no,NA,0.049397663,0.601426748,0.08213413,ORTHO002952,ORTHO002952,3269,3269,3269,?,?
AT5G45880/AT4G18596,AT5G45880,AT4G18596,alpha,3,3,no,no,NA,0.030932219,0.570036821,0.054263545,NA,ORTHO001925,NA,3071,3071,?,?
AT5G46190/AT4G18375,AT5G46190,AT4G18375,alpha,3,3,yes,no,NA,0.215605885,0.4995706,0.431582413,ORTHO004953,ORTHO004953,3082,3082,3082,?,?
